COD_CHAVE,DESCRITOR,RESUMOS
95,4-Nitroquinolina-1-Óxido,PI0526
119,Abandono do Fumo use Abandono do Hábito de Fumar,JL002
120,Abandono do Hábito de Fumar,PI0859
123,Abandono do Uso de Tabaco,PI0388
125,Abastecimento de Água,"PN1227, PN1502"
2010,Abrasão Dental por Ar,PN0969
2011,Abrasão Dentária,"PI0042, PI0195, PI0730, PI0886, PN0112, PN0391, PN0400, PN0794, PN0875, PN1049, COL011"
2039,Abscesso,PN1263
2060,Absenteísmo,"PO006, PN0903, PN1219"
2067,Absorção,PI0318
2090,Acabamento Dentário use Polimento Dentário,PN1147
2144,Acesso aos Serviços de Saúde,"PO016, PI0086, PI0246, PI0552, PN0916, PN1240, PN1491, PN1782"
2251,Acidente Vascular Encefálico use Acidente Cerebral Vascular,PN0262
2263,Acidentes Ocupacionais use Acidentes de Trabalho,PI0358
2266,Acidentes por Quedas,PI0160
2269,Acidez,"PI0651, PN1312"
2296,Ácido Cítrico,PI0196
2309,Ácido Edético,"PI0487, PN1249, PN1572"
2313,Ácido Fluorídrico,"PI0115, PN0127, PN0142, PN0181, PN0691, PN0782"
2328,Ácido Láctico,PI0350
2340,Ácido Peracético,"PN0333, PN0350, PN0355, PN1280"
2344,Ácido Poliglicólico,AO0162
2438,Aconselhamento,AO0199
2501,Actinomyces,PN1606
2514,Acuidade Visual,PN1743
2527,Adaptação,"PN0847, PN0862"
2532,Adaptação Marginal (Odontologia),"PI0257, PI0263, PI0279, PI0620, PN0175, PN0212, PN0227, PN0288, PN0523, PN0603, PN0750, PN0783, PN1066, PN1081, PN1137, PN1528, PN1555, PN1658, PN1709"
2570,Adenoidectomia,PN1346
2601,Adenoma Pleomorfo,"FC022, PN0238"
2645,Aderência Bacteriana,"PI0259, PN0071, PN0308, PN0681"
2646,Aderência Celular,FC017
2647,Aderências,PN1628
2657,Adesividade,"PN0147, PN0174, PN0339, PN0492, PN0711, PN1569"
2662,Adesivos,"AO0197, PI0428, PI0574, PI0862, PN0100, PN0119, PN0461, PN0511, PN0701, PN0740, PN0746, PN1011, PN1101"
